Date,Time,Temp °C,SpCond µS/cm
4/10/19,7:00:00,2.746,45.3
4/10/19,8:00:00,2.745,45.4
4/10/19,9:00:00,2.799,45.5
4/10/19,10:00:00,2.964,45.6
4/10/19,11:00:00,3.119,45.8
4/10/19,12:00:00,3.342,45.8
4/10/19,13:00:00,3.497,45.9
4/10/19,14:00:00,3.66,45.8
4/10/19,15:00:00,3.809,45.7
4/10/19,16:00:00,3.929,45.7
4/10/19,17:00:00,4.015,45.5
4/10/19,18:00:00,4.018,45.4
4/10/19,19:00:00,3.97,45.2
4/10/19,20:00:00,3.892,45
4/10/19,21:00:00,3.737,44.7
4/10/19,22:00:00,3.54,44.2
4/10/19,23:00:00,3.335,43.9
4/11/19,0:00:00,3.141,43.6
4/11/19,1:00:00,2.955,43.4
4/11/19,2:00:00,2.791,43.4
4/11/19,3:00:00,2.642,43.4
4/11/19,4:00:00,2.506,43.5
4/11/19,5:00:00,2.374,43.7
4/11/19,6:00:00,2.253,43.9
4/11/19,7:00:00,2.15,44.2
4/11/19,8:00:00,2.077,44.5
4/11/19,9:00:00,2.098,44.8
4/11/19,10:00:00,2.145,45.1
4/11/19,11:00:00,2.342,45.3
4/11/19,12:00:00,2.657,45.5
4/11/19,13:00:00,2.972,45.8
4/11/19,14:00:00,3.29,46
4/11/19,15:00:00,3.501,46.2
4/11/19,16:00:00,3.66,46.4
4/11/19,17:00:00,3.794,46.6
4/11/19,18:00:00,3.905,46.8
4/11/19,19:00:00,3.933,46.9
4/11/19,20:00:00,3.911,47.1
4/11/19,21:00:00,3.864,47.3
4/11/19,22:00:00,3.813,47.5
4/11/19,23:00:00,3.755,47.6
4/12/19,0:00:00,3.688,47.6
4/12/19,1:00:00,3.615,47.6
4/12/19,2:00:00,3.542,47.6
4/12/19,3:00:00,3.476,47.6
4/12/19,4:00:00,3.418,47.5
4/12/19,5:00:00,3.36,47.4
4/12/19,6:00:00,3.312,47.3
4/12/19,7:00:00,3.279,47.3
4/12/19,8:00:00,3.279,47.1
4/12/19,9:00:00,3.319,46.9
4/12/19,10:00:00,3.377,46.6
4/12/19,11:00:00,3.483,45.9
4/12/19,12:00:00,3.607,45.3
4/12/19,13:00:00,3.745,44.6
4/12/19,14:00:00,3.839,44.2
4/12/19,15:00:00,4.066,43.8
4/12/19,16:00:00,4.114,43.6
4/12/19,17:00:00,4.149,43.5
4/12/19,18:00:00,4.13,43.5
4/12/19,19:00:00,4.08,43.5
4/12/19,20:00:00,3.988,43.5
4/12/19,21:00:00,3.824,43.6
4/12/19,22:00:00,3.668,43.6
4/12/19,23:00:00,3.565,43.6
4/13/19,0:00:00,3.466,43.7
4/13/19,1:00:00,3.377,43.8
4/13/19,2:00:00,3.299,43.9
4/13/19,3:00:00,3.218,44.1
4/13/19,4:00:00,3.141,44.3
4/13/19,5:00:00,3.071,44.6
4/13/19,6:00:00,3.009,44.9
4/13/19,7:00:00,2.967,45.2
4/13/19,8:00:00,2.977,45.5
4/13/19,9:00:00,3.041,45.8
4/13/19,10:00:00,3.185,46
4/13/19,11:00:00,3.395,46.3
4/13/19,12:00:00,3.636,46.5
4/13/19,13:00:00,3.85,46.7
4/13/19,14:00:00,4.03,47
4/13/19,15:00:00,4.188,47.2
4/13/19,16:00:00,4.353,47.4
4/13/19,17:00:00,4.46,47.5
4/13/19,18:00:00,4.551,47.7
4/13/19,19:00:00,4.491,47.9
4/13/19,20:00:00,4.377,48.1
4/13/19,21:00:00,4.21,48.3
4/13/19,22:00:00,3.993,48.5
4/13/19,23:00:00,3.761,48.6
4/14/19,0:00:00,3.531,48.7
4/14/19,1:00:00,3.334,48.8
4/14/19,2:00:00,3.185,48.8
4/14/19,3:00:00,3.071,48.8
4/14/19,4:00:00,2.974,48.9
4/14/19,5:00:00,2.894,48.9
4/14/19,6:00:00,2.829,49.1
4/14/19,7:00:00,2.781,49.2
4/14/19,8:00:00,2.779,49.3
4/14/19,9:00:00,2.815,49.4
4/14/19,10:00:00,2.91,49.5
4/14/19,11:00:00,3.134,49.6
4/14/19,12:00:00,3.389,49.7
4/14/19,13:00:00,3.674,49.8
4/14/19,14:00:00,3.939,49.9
4/14/19,15:00:00,4.248,50
4/14/19,16:00:00,4.535,50.1
4/14/19,17:00:00,4.734,50.2
4/14/19,18:00:00,4.805,50.3
4/14/19,19:00:00,4.703,50.4
4/14/19,20:00:00,4.594,50.5
4/14/19,21:00:00,4.457,50.6
4/14/19,22:00:00,4.315,50.7
4/14/19,23:00:00,4.162,50.8
4/15/19,0:00:00,4.034,50.9
4/15/19,1:00:00,3.921,50.9
4/15/19,2:00:00,3.81,51.1
4/15/19,3:00:00,3.706,51.1
4/15/19,4:00:00,3.565,51.2
4/15/19,5:00:00,3.429,51.2
4/15/19,6:00:00,3.286,51.2
4/15/19,7:00:00,3.145,51.1
4/15/19,8:00:00,3.052,51.1
4/15/19,9:00:00,3.032,51.1
4/15/19,10:00:00,3.068,51.1
4/15/19,11:00:00,3.331,51
4/15/19,12:00:00,3.558,51
4/15/19,13:00:00,3.768,51.1
4/15/19,14:00:00,4.057,51.1
4/15/19,15:00:00,4.204,51.2
4/15/19,16:00:00,4.354,51.2
4/15/19,17:00:00,4.534,51.3
4/15/19,18:00:00,4.672,51.4
4/15/19,19:00:00,4.659,51.5
4/15/19,20:00:00,4.554,51.6
4/15/19,21:00:00,4.431,51.7
4/15/19,22:00:00,4.267,51.8
4/15/19,23:00:00,4.049,52
4/16/19,0:00:00,3.842,52.1
4/16/19,1:00:00,3.658,52.2
4/16/19,2:00:00,3.491,52.3
4/16/19,3:00:00,3.373,52.3
4/16/19,4:00:00,3.282,52.4
4/16/19,5:00:00,3.212,52.3
