,Discharge.2018@Berners Bay,Discharge.2018@Berners Bay,Discharge.2018@Berners Bay,Discharge.2018@Berners Bay
mm/dd/yyyy HH:MM:SS,m^3/s,,,
Date-Time,Value,Grade,Approval,Interpolation Code
03/02/2019 01:45:00,2.42378962062178,,0,1
03/02/2019 02:00:00,2.42378962062178,,0,1
03/02/2019 02:15:00,2.42378962062178,,0,1
03/02/2019 02:30:00,2.41301914620622,,0,1
03/02/2019 02:45:00,2.41301914620622,,0,1
03/02/2019 03:00:00,2.41840143350527,,0,1
03/02/2019 03:15:00,2.40764275893517,,0,1
03/02/2019 03:30:00,2.39690768532053,,0,1
03/02/2019 03:45:00,2.40764275893517,,0,1
03/02/2019 04:00:00,2.41840143350527,,0,1
03/02/2019 04:15:00,2.40227227190292,,0,1
03/02/2019 04:30:00,2.39154899939929,,0,1
03/02/2019 04:45:00,2.40227227190292,,0,1
03/02/2019 05:00:00,2.43458369346611,,0,1
03/02/2019 05:15:00,2.39690768532053,,0,1
03/02/2019 05:30:00,2.40764275893517,,0,1
03/02/2019 05:45:00,2.40764275893517,,0,1
03/02/2019 06:00:00,2.41301914620622,,0,1
03/02/2019 06:15:00,2.40764275893517,,0,1
03/02/2019 06:30:00,2.39690768532053,,0,1
03/02/2019 06:45:00,2.38084933038668,,0,1
03/02/2019 07:00:00,2.41840143350527,,0,1
03/02/2019 07:15:00,2.38619621435074,,0,1
03/02/2019 07:30:00,2.37017326656046,,0,1
03/02/2019 07:45:00,2.39690768532053,,0,1
03/02/2019 08:00:00,2.37017326656046,,0,1
03/02/2019 08:15:00,2.37017326656046,,0,1
03/02/2019 08:30:00,2.38084933038668,,0,1
03/02/2019 08:45:00,2.36484408712312,,0,1
03/02/2019 09:00:00,2.38619621435074,,0,1
03/02/2019 09:15:00,2.39154899939929,,0,1
03/02/2019 09:30:00,2.40227227190292,,0,1
03/02/2019 09:45:00,2.36484408712312,,0,1
03/02/2019 10:00:00,2.37550834771916,,0,1
03/02/2019 10:15:00,2.37017326656046,,0,1
03/02/2019 10:30:00,2.36484408712312,,0,1
03/02/2019 10:45:00,2.35952080961994,,0,1
03/02/2019 11:00:00,2.36484408712312,,0,1
03/02/2019 11:15:00,2.36484408712312,,0,1
03/02/2019 11:30:00,2.35420343426396,,0,1
03/02/2019 11:45:00,2.34358639084704,,0,1
03/02/2019 12:00:00,2.33828672321345,,0,1
03/02/2019 12:15:00,2.33828672321345,,0,1
03/02/2019 12:30:00,2.32242313918156,,0,1
03/02/2019 12:45:00,2.31714708484245,,0,1
03/02/2019 13:00:00,2.311876934364,,0,1
03/02/2019 13:15:00,2.32770509716627,,0,1
03/02/2019 13:30:00,2.311876934364,,0,1
03/02/2019 13:45:00,2.28561474742742,,0,1
03/02/2019 14:00:00,2.32242313918156,,0,1
03/02/2019 14:15:00,2.32242313918156,,0,1
03/02/2019 14:30:00,2.31714708484245,,0,1
03/02/2019 14:45:00,2.29610190824727,,0,1
03/02/2019 15:00:00,2.3013543458507,,0,1
03/02/2019 15:15:00,2.29085537536739,,0,1
03/02/2019 15:30:00,2.29610190824727,,0,1
03/02/2019 15:45:00,2.28038002464397,,0,1
03/02/2019 16:00:00,2.26992829541448,,0,1
03/02/2019 16:15:00,2.28038002464397,,0,1
03/02/2019 16:30:00,2.26471128940297,,0,1
03/02/2019 16:45:00,2.27515120723394,,0,1
03/02/2019 17:00:00,2.25950018941711,,0,1
03/02/2019 17:15:00,2.26992829541448,,0,1
03/02/2019 17:30:00,2.26471128940297,,0,1
03/02/2019 17:45:00,2.24909570839429,,0,1
03/02/2019 18:00:00,2.2335332875092,,0,1
03/02/2019 18:15:00,2.24909570839429,,0,1
03/02/2019 18:30:00,2.2335332875092,,0,1
03/02/2019 18:45:00,2.21802403266043,,0,1
03/02/2019 19:00:00,2.20256794978232,,0,1
03/02/2019 19:15:00,2.21286609674398,,0,1
03/02/2019 19:30:00,2.2335332875092,,0,1
03/02/2019 19:45:00,2.22318787657346,,0,1
03/02/2019 20:00:00,2.21802403266043,,0,1
03/02/2019 20:15:00,2.21802403266043,,0,1
03/02/2019 20:30:00,2.1922934374543,,0,1
03/02/2019 20:45:00,2.1922934374543,,0,1
03/02/2019 21:00:00,2.1922934374543,,0,1
03/02/2019 21:15:00,2.18204256153007,,0,1
03/02/2019 21:30:00,2.17692598777376,,0,1
03/02/2019 21:45:00,2.16671056978381,,0,1
03/02/2019 22:00:00,2.17692598777376,,0,1
03/02/2019 22:15:00,2.17181532378417,,0,1
03/02/2019 22:30:00,2.17181532378417,,0,1
03/02/2019 22:45:00,2.15651879264215,,0,1
03/02/2019 23:00:00,2.16671056978381,,0,1
03/02/2019 23:15:00,2.13114279022724,,0,1
03/02/2019 23:30:00,2.16161172599546,,0,1
03/02/2019 23:45:00,2.13620616804996,,0,1
03/03/2019 00:00:00,2.14635065813423,,0,1
03/03/2019 00:15:00,2.13620616804996,,0,1
03/03/2019 00:30:00,2.11094839897903,,0,1
03/03/2019 00:45:00,2.12608532418366,,0,1
03/03/2019 01:00:00,2.12103377014421,,0,1
03/03/2019 01:15:00,2.12103377014421,,0,1
03/03/2019 01:30:00,2.10591458230471,,0,1
03/03/2019 01:45:00,2.12103377014421,,0,1
03/03/2019 02:00:00,2.09586468790314,,0,1
03/03/2019 02:15:00,2.09586468790314,,0,1
03/03/2019 02:30:00,2.09586468790314,,0,1
03/03/2019 02:45:00,2.10088667853727,,0,1
03/03/2019 03:00:00,2.08083419706878,,0,1
03/03/2019 03:15:00,2.09084861062899,,0,1
03/03/2019 03:30:00,2.09084861062899,,0,1
03/03/2019 03:45:00,2.09084861062899,,0,1
03/03/2019 04:00:00,2.08583844694178,,0,1
