sample,site,site_code,datetime,date,time_AK,pH,EC_(uS/cm),TDS_(mg/L),gauge_height_(cm),water_temp_(C),conc_TOC,FI,d18O,d2H,Na_(ug/L),Na_LOD,Mg_(ug/L),Mg_LOD,Al_(ug/L) ,Al_LOD,K_(ug/L) ,K_LOD,Ca_(ug/L) ,Ca_LOD,V_(ug/L) ,V_LOD,Cr_(ug/L),Cr_LOD,Mn_(ug/L) ,Mn_LOD,Fe_(ug/L),Fe_LOD,Ni_(ug/L) ,Ni_LOD,Cu_(ug/L),Cu_LOD,Zn_(ug/L),Zn_LOD,As_(ug/L) ,As_LOD,Se_(ug/L) ,Se_LOD,Mo_(ug/L) ,Mo_LOD,Sb_(ug/L) ,Sb_LOD,Ba_(ug/L) ,Ba_LOD,Pb_(ug/L) ,Pb_LOD,Chloride_(mg/L),Chloride_LOD,Sulfate_(mg/L),Sulfate_LOD,Nitrate_(mg/L),Nitrate_LOD
11,stream_gauge,BI,2016/04/18 12:00,2016/04/18 ,12:00,,,,,,1704,1.71,-17.17328082,-126.9640691,861.04,100.00,287.34,87.17,12.11,0.99,204.82,54.49,13665.89,121.25,<LOD,1.80,<LOD,0.67,<LOD,0.93,<LOD,44.95,0.88,0.30,<LOD,1.70,2.47,0.26,3.37,0.13,<LOD,0.35,0.87,0.44,1.28,0.73,3.75,0.73,<LOD,0.63,0.87,0.23,6.58,0.16,0.37,0.09
0,stream_gauge,BI,2016/04/21 15:00,2016/04/21 ,15:00,,,,,,325,1.63,-16.88495069,-122.116946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,stream_gauge,BI,2016/05/11 13:05,2016/05/11 ,13:05,7.91,53,24,,1,567,1.55,-16.91404066,-117.8834098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,stream_gauge,BI,2016/05/14 11:45,2016/05/14 ,11:45,7.75,43,22,,0.9,558,1.44,-17.00458037,-123.4533497,512.83,100.00,151.31,87.17,24.01,0.99,173.40,54.49,7517.32,121.25,<LOD,1.80,<LOD,0.67,<LOD,0.93,<LOD,44.95,0.45,0.30,<LOD,1.70,3.13,0.26,2.07,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,2.20,0.73,<LOD,0.63,0.61,0.23,3.24,0.16,0.30,0.09
W16K-201,stream_gauge,BI,2016/05/14 11:49,2016/05/14,11:49,,46,,,,,,-17.47908828,-128.4432135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W16K-203,stream_gauge,BI,2016/05/14 12:40,2016/05/14,12:40,,46,,,,,,-17.99563039,-132.1349017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,stream_gauge,BI,2016/05/15 10:09,2016/05/15 ,10:09,6.7,42,,,2.1,451,1.62,-16.53291981,-123.1319941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,stream_gauge,BI,2016/05/16 11:24,2016/05/16 ,11:24,7.75,40,20,,0.9,307,1.75,-16.81090217,-125.6209581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,stream_gauge,BI,2016/05/31 12:05,2016/05/31 ,12:05,7.39,32,16,,1.4,261,,-17.46810112,-127.3310059,<LOD,100.00,<LOD,87.17,29.78,0.99,59.63,54.49,1780.23,121.25,<LOD,1.80,<LOD,0.67,1.03,0.93,49.22,44.95,<LOD,0.30,<LOD,1.70,4.89,0.26,0.38,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,1.53,0.73,<LOD,0.63,<LOD,0.23,0.71,0.16,0.17,0.09
40,stream_gauge,BI,2016/07/14 10:48,2016/07/14 ,10:48,7.2,15,,,1.7,137,2.28,-16.90030366,-122.705363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,stream_gauge,BI,2016/07/19 10:30,2016/07/19 ,10:30,7.96,15,7,,2.3,101,,-16.40598137,-118.8345028,452.91,100.00,200.95,87.17,285.74,0.99,292.58,54.49,3940.29,121.25,<LOD,1.80,0.94,0.67,12.36,0.93,414.58,44.95,2.22,0.30,2.37,1.70,11.35,0.26,1.54,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,4.74,0.73,<LOD,0.63,0.56,0.23,5.18,0.16,0.30,0.09
118,stream_gauge,BI,2016/09/07 12:46,2016/09/07 ,12:46,8.6,23,11,,2.1,1668,,-16.48747705,-120.1382556,417.12,100.00,221.92,36.06,174.04,0.61,368.44,14.05,3996.21,58.04,<LOD,1.40,<LOD,0.65,7.60,1.37,334.03,168.20,1.08,0.29,1.19,1.12,5.45,0.39,1.92,0.05,<LOD,2.08,0.68,0.07,0.19,0.08,3.07,0.14,0.41,0.06,0.42,0.23,3.26,0.16,0.33,0.09
FB,field_blank,FB,2016/05/01 12:00,2016/05/01 ,12:00,,,,,,471,,-6.264316594,-38.85507614,235.64,100.00,<LOD,377.84,<LOD,9.24,497.55,380.73,405.23,378.38,<LOD,3.67,4.33,4.11,<LOD,3.46,<LOD,383.67,26.83,3.51,<LOD,3.98,31.99,2.99,<LOD,3.27,<LOD,3.98,<LOD,3.32,4.77,3.32,3.7,3.38,<LOD,4.03,<LOD,0.31,5.88,0.11,n.a.,0.21
FB-DII,field_blank_DII,FB,,,,,,,,,,,,,242.8731093,100.00,<LOD,36.06,7.468207003,0.61,19.61237546,14.05,734.2190479,58.04,<LOD,1.40,<LOD,0.65,<LOD,1.37,<LOD,168.20,<LOD,0.29,<LOD,1.12,<LOD,0.39,0.17,0.05,<LOD,2.08,<LOD,0.07,<LOD,0.08,3.57,0.14,<LOD,0.06,<LOD,0.06,1.54,1.19,0.73,0.48
9,terminus,GI,2016/05/07 17:15,2016/05/07 ,17:15,,,,,,1602,1.73,-17.10880305,-126.2135997,630.58,100.00,189.44,87.17,12.79,0.99,106.63,54.49,9573.07,121.25,<LOD,1.80,<LOD,0.67,<LOD,0.93,<LOD,44.95,0.39,0.30,<LOD,1.70,0.31,0.26,2.22,0.13,<LOD,0.35,0.66,0.44,0.85,0.73,2.40,0.73,<LOD,0.63,0.59,0.23,4.56,0.16,0.29,0.09
W16K-21,terminus,GI,2016/05/10 17:00,2016/05/10,17:00,,,,,,,,-16.74091727,-121.0204779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,terminus,GI,2016/05/10 17:55,2016/05/10 ,17:55,8.68,62,31,,0.6,312,1.68,-16.89390938,-125.4694312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,terminus,GI,2016/05/11 11:13,2016/05/11 ,11:13,8.15,54,27,50.4,0.7,423,1.71,-17.24967926,-127.2687143,603.29,100.00,205.85,102.69,<LOD,6.24,101.17,56.44,9223.29,72.72,<LOD,0.09,<LOD,0.68,<LOD,0.39,<LOD,63.07,<LOD,0.35,0.42,0.38,2.4,0.41,2.21,0.08,<LOD,0.21,0.51,0.15,2.37,0.03,3.02,0.09,<LOD,0.09,<LOD,0.31,23.71,0.11,n.a.,0.21
1,terminus,GI,2016/05/12 12:00,2016/05/12 ,12:00,7.53,53,27,,0.56,236,1.79,-16.86443309,-124.6082096,837.32,100.00,201.40,87.17,27.15,0.99,436.76,54.49,9140.43,121.25,<LOD,1.80,<LOD,0.67,<LOD,0.93,<LOD,44.95,0.65,0.30,<LOD,1.70,11.39,0.26,3.49,0.13,<LOD,0.35,1.19,0.44,0.86,0.73,2.43,0.73,<LOD,0.63,0.80,0.23,4.80,0.16,0.29,0.09
30,terminus,GI,2016/05/13 08:40,2016/05/13 ,8:40,7.84,51,26,,0.6,205,1.75,-16.12430968,-120.2209781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,terminus,GI,2016/05/14 12:54,2016/05/14 ,12:54,8.1,,,,1.6,314,1.69,-16.38898848,-120.8997876,371.19,100.00,147.11,87.17,35.14,0.99,103.01,54.49,8538.80,121.25,<LOD,1.80,<LOD,0.67,<LOD,0.93,46.19,44.95,0.52,0.30,<LOD,1.70,2.60,0.26,4.70,0.13,<LOD,0.35,0.44,0.44,1.08,0.73,2.11,0.73,<LOD,0.63,0.42,0.23,2.99,0.16,0.22,0.09
7,terminus,GI,2016/05/15 12:10,2016/05/15 ,12:10,7.2,,,,1.4,248,1.52,-17.46110781,-127.7069731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,terminus,GI,2016/05/16 10:58,2016/05/16 ,10:58,8.22,40,20,,0.6,281,1.87,-17.36966851,-127.7590569,498.52,100.00,190.46,102.69,24.03,6.24,109.66,56.44,7495.38,72.72,<LOD,0.09,<LOD,0.68,1.04,0.39,<LOD,63.07,<LOD,0.35,0.43,0.38,2.65,0.41,2.53,0.08,0.27,0.21,0.45,0.15,0.74,0.03,2.85,0.09,<LOD,0.09,<LOD,0.31,1.83,0.11,<LOD,0.21
22,terminus,GI,2016/05/30 14:08,2016/05/30 ,14:08,8.45,40,19,,7.1,84,,-17.93406062,-130.9613089,549.02,100.00,212.12,102.69,10.77,6.24,171.62,56.44,6442.75,72.72,<LOD,0.09,<LOD,0.68,2.39,0.39,<LOD,63.07,<LOD,0.35,4.1,0.38,14.34,0.41,2.24,0.08,<LOD,0.21,0.4,0.15,0.75,0.03,2.63,0.09,0.13,0.09,<LOD,0.31,0.31,0.11,<LOD,0.21
31,terminus,GI,2016/06/01 11:15,2016/06/01 ,11:15,7.7,36,18,,1,<LOD,2.19,-17.79872248,-131.0300154,366.64,100.00,139.35,102.69,<LOD,6.24,186.92,56.44,4823.1,72.72,<LOD,0.09,<LOD,0.68,1.45,0.39,<LOD,63.07,<LOD,0.35,0.72,0.38,8.64,0.41,1.27,0.08,<LOD,0.21,0.3,0.15,0.52,0.03,2.06,0.09,<LOD,0.09,<LOD,0.31,1.42,0.11,n.a.,0.21
41,terminus,GI,2016/07/14 11:04,2016/07/14 ,11:04,,,,,,,,-16.81507833,-123.0645263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,terminus,GI,2016/07/15 11:54,2016/07/15 ,11:54,7.7,18,9,,3.5,117,,-16.89516868,-122.2969747,1252.94,100.00,160.1,102.69,89.25,6.24,923.04,56.44,4275.81,72.72,0.25,0.09,<LOD,0.68,4.81,0.39,<LOD,63.07,0.76,0.35,2.12,0.38,37.72,0.41,1.25,0.08,<LOD,0.21,0.23,0.15,0.2,0.03,3.42,0.09,0.31,0.09,<LOD,0.31,12.45,0.11,n.a.,0.21
62,terminus,GI,2016/07/15 16:16,2016/07/15 ,16:16,7.55,15,8,,3,107,,-16.73073903,-120.5754671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,terminus,GI,2016/07/16 11:40,2016/07/16 ,11:40,8.24,13,7,,1.7,59,,-16.70735233,-120.461879,217.02,100.00,156.90,87.17,259.55,0.99,86.48,54.49,3081.88,121.25,<LOD,1.80,<LOD,0.67,7.43,0.93,308.67,44.95,1.08,0.30,<LOD,1.70,5.79,0.26,1.70,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,2.90,0.73,<LOD,0.63,0.33,0.23,2.96,0.16,0.25,0.09
51,terminus,GI,2016/07/17 10:37,2016/07/17 ,10:37,8.31,14,8,,1.7,76,,-16.60423418,-119.8660282,177.07,100.00,140.14,87.17,179.31,0.99,87.12,54.49,3355.53,121.25,<LOD,1.80,<LOD,0.67,7.61,0.93,258.64,44.95,1.09,0.30,<LOD,1.70,3.41,0.26,1.26,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,3.46,0.73,<LOD,0.63,0.31,0.23,2.68,0.16,0.31,0.09
67,terminus,GI,2016/07/18 11:46,2016/07/18 ,11:46,8.1,13,6,,1.4,92,,-16.55462448,-120.2198031,320.3,100.00,232.77,102.69,495.1,6.24,299.71,56.44,3507.77,72.72,1.17,0.09,0.73,0.68,11.22,0.39,344.4,63.07,1.28,0.35,2.13,0.38,16.63,0.41,2.44,0.08,<LOD,0.21,0.18,0.15,0.15,0.03,11.31,0.09,0.81,0.09,<LOD,0.31,2.83,0.11,n.a.,0.21
78,terminus ,GI,2016/07/19 11:51,2016/07/19 ,11:51,7.81,5,7,,3,87,,-16.5273119,-119.6704268,350.23,100.00,229.28,87.17,337.51,0.99,251.17,54.49,4388.11,121.25,<LOD,1.80,0.96,0.67,15.28,0.93,509.68,44.95,2.39,0.30,3.34,1.70,9.00,0.26,1.68,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,5.42,0.73,0.79,0.63,0.40,0.23,5.28,0.16,0.36,0.09
77,terminus,GI,2016/08/15 09:25,2016/08/15 ,9:25,,,,,,29.85604113,,-16.32059858,-117.912346,<LOD,100.00,178.44,87.17,245.01,0.99,<LOD,54.49,2721.96,121.25,<LOD,1.80,0.76,0.67,11.04,0.93,405.98,44.95,1.35,0.30,<LOD,1.70,3.65,0.26,1.12,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,3.56,0.73,<LOD,0.63,<LOD,0.23,2.11,0.16,0.28,0.09
75,terminus,GI,2016/08/16 08:45,2016/08/16 ,8:45,,,,,,140.2159383,,-16.53412201,-118.3900964,<LOD,100.00,135.98,87.17,204.59,0.99,<LOD,54.49,2061.40,121.25,<LOD,1.80,<LOD,0.67,10.17,0.93,377.03,44.95,1.26,0.30,<LOD,1.70,2.65,0.26,1.04,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,3.35,0.73,<LOD,0.63,<LOD,0.23,1.56,0.16,0.27,0.09
73,terminus,GI,2016/08/16 15:00,2016/08/16 ,15:00,9.1,16,8,,1.4,122,,-17.32257891,-119.7200455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,terminus,GI,2016/08/16 18:00,2016/08/16 ,18:00,8.98,16,8,,1.4,139,,-15.97546358,-119.2933012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,terminus,GI,2016/08/17 10:00,2016/08/17 ,10:00,8.92,17,8,,1.7,144,,-15.73437573,-118.3279384,<LOD,100.00,156.67,87.17,164.87,0.99,57.27,54.49,3273.48,121.25,<LOD,1.80,<LOD,0.67,8.37,0.93,284.00,44.95,1.15,0.30,<LOD,1.70,4.01,0.26,1.15,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,3.82,0.73,<LOD,0.63,<LOD,0.23,2.77,0.16,0.26,0.09
81,terminus,GI,2016/08/17 15:00,2016/08/17 ,15:00,8.3,30,15,,2.6,124,,-15.14837143,-113.0316353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,terminus,GI,2016/08/17 18:00,2016/08/17 ,18:00,8.36,25,13,,2,143,,-14.34150354,-108.4184368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,terminus,GI,2016/08/18 10:00,2016/08/18 ,10:00,8.68,16,8,,1.4,122,,-16.09053469,-117.9815407,<LOD,100.00,207.66,102.69,300.96,6.24,127.25,56.44,3857.22,72.72,0.76,0.09,<LOD,0.68,8.12,0.39,269.91,63.07,0.72,0.35,1.17,0.38,2.86,0.41,1.51,0.08,<LOD,0.21,0.22,0.15,0.22,0.03,7.35,0.09,0.37,0.09,<LOD,0.31,16.56,0.11,n.a.,0.21
84,terminus,GI,2016/08/18 15:00,2016/08/18 ,15:00,8.64,21,10,,1.9,142,,-14.97558157,-111.057741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,terminus,GI,2016/08/18 18:00,2016/08/18 ,18:00,8.65,17,9,,1.8,136,,-15.87263527,-117.8830008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,terminus,GI,2016/08/19 10:00,2016/08/19 ,10:00,8.97,20,10,,1.9,117,,-16.21304175,-120.0306978,<LOD,100.00,153.22,87.17,159.40,0.99,<LOD,54.49,3136.88,121.25,<LOD,1.80,<LOD,0.67,8.52,0.93,256.86,44.95,1.00,0.30,<LOD,1.70,1.97,0.26,1.12,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,3.35,0.73,<LOD,0.63,<LOD,0.23,2.68,0.16,0.30,0.09
87,terminus,GI,2016/08/19 15:00,2016/08/19 ,15:00,8.62,19,9,,1.6,105,,-16.03803066,-120.2815947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,terminus,GI,2016/08/19 18:00,2016/08/19 ,18:00,8.67,20,10,,1.8,113,,-16.25988045,-119.938474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,terminus,GI,2016/08/20 10:00,2016/08/20 ,10:00,9.02,19,10,,1.6,107,,-16.2033074,-120.6086569,274.82,100.00,<LOD,87.17,96.53,0.99,289.34,54.49,2087.76,121.25,<LOD,1.80,<LOD,0.67,4.93,0.93,165.51,44.95,0.81,0.30,<LOD,1.70,8.16,0.26,0.85,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,2.43,0.73,<LOD,0.63,0.30,0.23,1.18,0.16,0.25,0.09
90,terminus,GI,2016/08/20 15:00,2016/08/20 ,15:00,8.68,20,10,,1.8,94,,-16.06159306,-119.8888941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,terminus,GI,2016/08/20 18:00,2016/08/20 ,18:00,8.64,15,8,,1.6,155,,-16.09771901,-119.0437356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,terminus,GI,2016/08/21 10:00,2016/08/21 ,10:00,8.61,20,10,,1.5,135,,-16.0811679,-120.570794,<LOD,100.00,142.45,102.69,148.85,6.24,101.17,56.44,3235.37,72.72,0.41,0.09,<LOD,0.68,4.77,0.39,107.75,63.07,<LOD,0.35,0.55,0.38,1.73,0.41,1.24,0.08,<LOD,0.21,0.19,0.15,0.15,0.03,4.8,0.09,0.24,0.09,<LOD,0.31,1.04,0.11,0.56,0.21
94,terminus,GI,2016/08/21 19:04,2016/08/21 ,19:04,8.39,21,11,,1.6,121,,-16.24431763,-120.0510603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,terminus,GI,2016/08/22 10:00,2016/08/22 ,10:00,8.27,18,9,,2,127,,-15.9434001,-119.2864219,152.66,100.00,98.08,87.17,150.25,0.99,94.90,54.49,2010.66,121.25,<LOD,1.80,<LOD,0.67,6.56,0.93,230.78,44.95,0.99,0.30,<LOD,1.70,3.49,0.26,1.13,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,3.03,0.73,<LOD,0.63,<LOD,0.23,1.57,0.16,0.20,0.09
96,terminus,GI,2016/08/22 18:00,2016/08/22 ,18:00,8.06,17,9,,1.7,254,,-14.56246865,-110.2035362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,terminus,GI,2016/08/23 10:00,2016/08/23 ,10:00,8.51,16,8,,1.4,104,,-15.96113816,-118.1227424,<LOD,100.00,<LOD,87.17,96.57,0.99,<LOD,54.49,402.40,121.25,<LOD,1.80,<LOD,0.67,3.71,0.93,154.43,44.95,0.48,0.30,<LOD,1.70,1.17,0.26,0.29,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,1.56,0.73,<LOD,0.63,<LOD,0.23,<LOD,0.16,0.12,0.09
99,terminus,GI,2016/08/23 18:00,2016/08/23 ,18:00,7.96,22,11,,1.9,148,,-13.48314881,-104.0804925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,terminus,GI,2016/08/24 10:00,2016/08/24 ,10:00,8.72,18,9,,1.4,111,,-15.24580703,-113.4825065,157.06,100.00,210.62,87.17,123.04,0.99,96.91,54.49,5977.84,121.25,<LOD,1.80,<LOD,0.67,6.03,0.93,192.15,44.95,0.96,0.30,<LOD,1.70,1.63,0.26,1.24,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,4.34,0.73,<LOD,0.63,<LOD,0.23,4.77,0.16,0.33,0.09
101,terminus,GI,2016/08/24 18:00,2016/08/24 ,18:00,8.36,18,9,,1.8,133,,-14.69198252,-110.5192438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,terminus,GI,2016/08/25 14:15,2016/08/25 ,14:15,8.76,21,10,,1.8,117,,-13.28849244,-100.0584381,438.35,100.00,426.23,87.17,113.28,0.99,298.45,54.49,13349.99,121.25,<LOD,1.80,<LOD,0.67,5.15,0.93,173.71,44.95,1.62,0.30,<LOD,1.70,2.03,0.26,1.92,0.13,0.59,0.35,1.10,0.44,1.03,0.73,7.41,0.73,<LOD,0.63,<LOD,0.23,10.71,0.16,0.42,0.09
117,terminus,GI,2016/09/07 13:17,2016/09/07 ,13:17,8.29,18,9,,1.1,35.15167095,,-16.35280744,-120.1317982,135.50,100.00,89.11,87.17,167.87,0.99,252.25,54.49,1471.61,121.25,<LOD,1.80,0.71,0.67,7.15,0.93,282.51,44.95,1.08,0.30,<LOD,1.70,5.69,0.26,0.78,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,3.07,0.73,<LOD,0.63,<LOD,0.23,1.33,0.16,0.25,0.09
189,terminus,GI,2016/09/08 11:22,2016/09/08 ,11:22,6.99,20,10,,0.8,18.08226221,,-16.59181947,-120.8088091,108.69,100.00,213.5,102.69,282.69,6.24,128.19,56.44,3727.84,72.72,0.73,0.09,<LOD,0.68,5.62,0.39,193.03,63.07,0.56,0.35,0.75,0.38,1.99,0.41,1.33,0.08,<LOD,0.21,0.28,0.15,0.2,0.03,7.87,0.09,0.31,0.09,<LOD,0.31,52.19,0.11,0.71,0.21
116,terminus,GI,2016/09/11 12:05,2016/09/11 ,12:05,7.66,16,8,,0.9,13.27506427,,-16.16884605,-117.1719239,<LOD,100.00,<LOD,102.69,18.86,6.24,<LOD,56.44,1742.32,72.72,<LOD,0.09,<LOD,0.68,1.31,0.39,<LOD,63.07,<LOD,0.35,<LOD,0.38,<LOD,0.41,0.7,0.08,<LOD,0.21,0.21,0.15,0.11,0.03,1.96,0.09,<LOD,0.09,<LOD,0.31,4.10,0.11,0.37,0.21
192,terminus,GI,2016/09/13 14:18,2016/09/13 ,14:18,7.53,32,16,,1.9,104.9974293,,-15.95220903,-115.3321383,532.40,100.00,850.10,87.17,1379.04,0.99,406.26,54.49,4718.28,121.25,2.31,1.80,4.52,0.67,55.38,0.93,2184.02,44.95,9.07,0.30,9.94,1.70,24.59,0.26,5.47,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,21.85,0.73,3.34,0.63,0.25,0.23,4.54,0.16,0.29,0.09
201,terminus,GI,2016/10/15 12:15,2016/10/15 ,12:15,,,,,,30.88431877,1.44,,,496.84,100.00,366.28,36.06,96.84,0.61,120.15,14.05,7605.17,58.04,<LOD,1.40,<LOD,0.65,2.76,1.37,<LOD,168.20,0.72,0.29,<LOD,1.12,2.52,0.39,2.82,0.05,<LOD,2.08,0.68,0.07,0.29,0.08,3.30,0.14,0.21,0.06,0.29,0.23,7.01,0.16,0.26,0.09
66,cabin_groundwater,GW,2016/07/16 08:06,2016/07/16 ,8:06,7.74,120,60,,12.9,387,,-16.51508854,-122.8282092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ground_seep,GW,2016/07/16 15:00,2016/07/16 ,15:00,8.14,86,43,,24.9,2126,,-14.42449797,-110.1072576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,cabin_groundwater,GW,2016/07/17 18:54,2016/07/17 ,18:54,7.53,131,65,,17.5,404,,-16.21974683,-120.374008,1030.2,100.00,747.86,102.69,30.88,6.24,301.35,56.44,20177.77,72.72,0.13,0.09,<LOD,0.68,<LOD,0.39,<LOD,63.07,0.54,0.35,0.89,0.38,18.6,0.41,97.94,0.08,0.7,0.21,0.95,0.15,1.75,0.03,9.69,0.09,<LOD,0.09,<LOD,0.31,1.27,0.11,<LOD,0.21
,ground_terminus,GW,2016/08/18 15:11,2016/08/18 ,15:11,8.02,265,132,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ground_terminus,GW,2016/08/19 15:05,2016/08/19 ,15:05,7.71,186,94,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ground_terminus,GW,2016/08/20 15:10,2016/08/20 ,15:10,8.08,259,130,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151_GW1,cabin_groundwater,GW,2016/08/20 20:10,2016/08/20 ,20:10,,,,,,1926,,-15.06517818,-109.9736804,706.5,100.00,587.6,102.69,<LOD,6.24,164.46,56.44,16523.4,72.72,<LOD,0.09,<LOD,0.68,<LOD,0.39,<LOD,63.07,0.37,0.35,0.76,0.38,5.1,0.41,63.14,0.08,0.33,0.21,0.66,0.15,1.26,0.03,7.38,0.09,<LOD,0.09,<LOD,0.31,12.39,0.11,n.a.,0.21
153_GW3,cabin_groundwater,GW,2016/08/22 14:10,2016/08/22 ,14:10,,,,,,2046,,-15.72825608,-116.7322909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148_GW4,cabin_groundwater,GW,2016/08/23 13:30,2016/08/23 ,13:30,,,,,,,,-14.2965736,-107.354899,636.82,100.00,301.53,87.17,2.89,0.99,108.32,54.49,13068.67,121.25,<LOD,1.80,<LOD,0.67,<LOD,0.93,<LOD,44.95,1.02,0.30,<LOD,1.70,2.63,0.26,1.42,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,4.82,0.73,<LOD,0.63,<LOD,0.23,3.18,0.16,0.25,0.09
,ground_terminus,GW,2016/08/23 18:20,2016/08/23 ,18:20,7.51,162,81,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,ground_terminus,GW,2016/08/24 14:15,2016/08/24 ,14:15,7.8,182,91,,11.7,92,,-12.1957876,-91.71836493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149_GW5,ground_seep,GW,2016/08/25 10:55,2016/08/25 ,10:55,,,,,,1459,,-13.83788456,-105.0027817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,ground_terminus,GW,2016/08/25 14:05,2016/08/25 ,14:05,8.04,147,73,,12,98,,-12.13531907,-93.59606333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,cabin_groundwater,GW,2016/09/08 16:11,2016/09/08 ,16:11,7.45,97,49,,10.5,555.7429306,,-15.5968193,-119.7610602,1455.20,100.00,579.07,87.17,6.59,0.99,1157.20,54.49,12850.32,121.25,<LOD,1.80,<LOD,0.67,<LOD,0.93,<LOD,44.95,0.76,0.30,2.30,1.70,16.25,0.26,60.46,0.13,<LOD,0.35,0.66,0.44,1.07,0.73,6.47,0.73,<LOD,0.63,1.24,0.23,7.04,0.16,0.26,0.09
182,cabin_groundwater,GW,2016/09/09 09:30,2016/09/09 ,9:30,7.73,102,50,,6.6,521.2956298,,-15.89407083,-118.867596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,ground_seep,GW,2016/09/09 12:21,2016/09/09 ,12:21,7.62,79,40,,8.7,1358,,-15.14093946,-113.5190828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
